,neighbourhood,area,rooms,bathrooms,rent
730,Jardim Lutfalla,56,2,1,1555
731,,98,2,2,1667
732,Gleba I,111,4,3,3300
733,Centro,35,1,2,1112
734,Jardim Bethania,115,3,1,2440
735,Jardim Gibertoni,150,3,3,3700
736,,146,3,4,2500
737,Parque Sabará,63,2,2,1760
738,Centro,60,2,3,1554
739,Jardim Centenário,48,2,1,1400
740,Parque Santa Felícia Jardim,80,3,1,1667
741,,100,3,2,2000
742,Centro,56,2,1,1900
743,,80,2,2,1500
744,Parque Arnold Schimidt,41,1,1,1112
745,Jardim Nova Santa Paula,57,2,1,750
746,Jardim Gibertoni,130,3,3,1000
747,Centro,60,2,1,1900
748,Parque Sabará,67,2,2,1900
749,Jardim Gibertoni,70,2,1,1334
750,Parque Santa Mônica,81,3,1,1300
751,Jardim Nova São Carlos,42,2,1,640
752,Parque Arnold Schimidt,63,2,2,1500
753,Residencial Monsenhor Romeu Tortorelli,42,2,1,660
754,,102,3,2,3111
755,Parque Fehr,43,2,1,1334
756,Jardim Bethania,60,2,2,1700
757,Jardim Alvorada,60,2,1,880
758,Jardim Alvorada,64,2,2,2500
759,Jardim Santa Paula,66,2,2,1223
760,Parque Arnold Schimidt,48,2,1,1100
761,Parque Santa Mônica,82,1,1,1400
762,Jardim Brasil,49,2,2,1000
763,Vila Irene,42,2,1,600
764,,64,3,2,1400
765,Centro,44,1,1,1400
766,Jardim Lutfalla,56,2,1,1555
767,,98,2,2,1667
768,Gleba I,111,4,3,3300
769,Centro,35,1,2,1112
770,Jardim Bethania,115,3,1,2440
771,Jardim Gibertoni,150,3,3,3700
772,,146,3,4,2500
773,Parque Sabará,63,2,2,1760
774,Centro,60,2,3,1554
775,Jardim Centenário,48,2,1,1400
776,Parque Santa Felícia Jardim,80,3,1,1667
777,,100,3,2,2000
778,Centro,56,2,1,1900
779,,80,2,2,1500
780,Parque Arnold Schimidt,41,1,1,1112
781,Jardim Nova Santa Paula,57,2,1,750
782,Jardim Gibertoni,130,3,3,1000
783,Centro,60,2,1,1900
784,Parque Sabará,67,2,2,1900
785,Jardim Gibertoni,70,2,1,1334
786,Parque Santa Mônica,81,3,1,1300
787,Jardim Nova São Carlos,42,2,1,640
788,Parque Arnold Schimidt,63,2,2,1500
789,Residencial Monsenhor Romeu Tortorelli,42,2,1,660
790,,102,3,2,3111
791,Parque Fehr,43,2,1,1334
792,Jardim Bethania,60,2,2,1700
793,Jardim Alvorada,60,2,1,880
794,Jardim Alvorada,64,2,2,2500
795,Jardim Santa Paula,66,2,2,1223
796,Parque Arnold Schimidt,48,2,1,1100
797,Parque Santa Mônica,82,1,1,1400
798,Jardim Brasil,49,2,2,1000
799,Vila Irene,42,2,1,600
800,,64,3,2,1400
801,Centro,44,1,1,1400
802,Jardim Lutfalla,56,2,1,1555
803,,98,2,2,1667
804,Gleba I,111,4,3,3300
805,Centro,35,1,2,1112
806,Jardim Bethania,115,3,1,2440
807,Jardim Gibertoni,150,3,3,3700
808,,146,3,4,2500
809,Parque Sabará,63,2,2,1760
810,Centro,60,2,3,1554
811,Jardim Centenário,48,2,1,1400
812,Parque Santa Felícia Jardim,80,3,1,1667
813,,100,3,2,2000
814,Centro,56,2,1,1900
815,,80,2,2,1500
816,Parque Arnold Schimidt,41,1,1,1112
817,Jardim Nova Santa Paula,57,2,1,750
818,Jardim Gibertoni,130,3,3,1000
819,Centro,60,2,1,1900
820,Parque Sabará,67,2,2,1900
821,Jardim Gibertoni,70,2,1,1334
822,Parque Santa Mônica,81,3,1,1300
823,Jardim Nova São Carlos,42,2,1,640
824,Parque Arnold Schimidt,63,2,2,1500
825,Residencial Monsenhor Romeu Tortorelli,42,2,1,660
826,,102,3,2,3111
827,Parque Fehr,43,2,1,1334
828,Jardim Bethania,60,2,2,1700
829,Jardim Alvorada,60,2,1,880
830,Jardim Alvorada,64,2,2,2500
831,Jardim Santa Paula,66,2,2,1223
832,Parque Arnold Schimidt,48,2,1,1100
833,Parque Santa Mônica,82,1,1,1400
834,Jardim Brasil,49,2,2,1000
835,Vila Irene,42,2,1,600
836,,64,3,2,1400
837,Centro,44,1,1,1400
838,Jardim Lutfalla,56,2,1,1555
839,,98,2,2,1667
840,Gleba I,111,4,3,3300
841,Centro,35,1,2,1112
842,Jardim Bethania,115,3,1,2440
843,Jardim Gibertoni,150,3,3,3700
844,,146,3,4,2500
845,Parque Sabará,63,2,2,1760
846,Centro,60,2,3,1554
847,Jardim Centenário,48,2,1,1400
848,Parque Santa Felícia Jardim,80,3,1,1667
849,,100,3,2,2000
850,Centro,56,2,1,1900
851,,80,2,2,1500
852,Parque Arnold Schimidt,41,1,1,1112
853,Jardim Nova Santa Paula,57,2,1,750
854,Jardim Gibertoni,130,3,3,1000
855,Centro,60,2,1,1900
856,Parque Sabará,67,2,2,1900
857,Jardim Gibertoni,70,2,1,1334
858,Parque Santa Mônica,81,3,1,1300
859,Jardim Nova São Carlos,42,2,1,640
860,Parque Arnold Schimidt,63,2,2,1500
861,Residencial Monsenhor Romeu Tortorelli,42,2,1,660
862,,102,3,2,3111
863,Parque Fehr,43,2,1,1334
864,Jardim Bethania,60,2,2,1700
865,Jardim Alvorada,60,2,1,880
866,Jardim Alvorada,64,2,2,2500
867,Jardim Santa Paula,66,2,2,1223
868,Parque Arnold Schimidt,48,2,1,1100
869,Parque Santa Mônica,82,1,1,1400
870,Jardim Brasil,49,2,2,1000
871,Vila Irene,42,2,1,600
872,,64,3,2,1400
873,Centro,44,1,1,1400
874,Jardim Lutfalla,56,2,1,1555
875,,98,2,2,1667
876,Gleba I,111,4,3,3300
877,Centro,35,1,2,1112
878,Jardim Bethania,115,3,1,2440
879,Jardim Gibertoni,150,3,3,3700
880,,146,3,4,2500
881,Parque Sabará,63,2,2,1760
882,Centro,60,2,3,1554
883,Jardim Centenário,48,2,1,1400
884,Parque Santa Felícia Jardim,80,3,1,1667
885,,100,3,2,2000
886,Centro,56,2,1,1900
887,,80,2,2,1500
888,Parque Arnold Schimidt,41,1,1,1112
889,Jardim Nova Santa Paula,57,2,1,750
890,Jardim Gibertoni,130,3,3,1000
891,Centro,60,2,1,1900
892,Parque Sabará,67,2,2,1900
893,Jardim Gibertoni,70,2,1,1334
894,Parque Santa Mônica,81,3,1,1300
895,Jardim Nova São Carlos,42,2,1,640
896,Parque Arnold Schimidt,63,2,2,1500
897,Residencial Monsenhor Romeu Tortorelli,42,2,1,660
898,,102,3,2,3111
899,Parque Fehr,43,2,1,1334
900,Jardim Bethania,60,2,2,1700
901,Jardim Alvorada,60,2,1,880
902,Jardim Alvorada,64,2,2,2500
903,Jardim Santa Paula,66,2,2,1223
904,Parque Arnold Schimidt,48,2,1,1100
905,Parque Santa Mônica,82,1,1,1400
906,Jardim Brasil,49,2,2,1000
907,Vila Irene,42,2,1,600
908,,64,3,2,1400
909,Centro,44,1,1,1400
910,Jardim Lutfalla,56,2,1,1555
911,,98,2,2,1667
912,Gleba I,111,4,3,3300
913,Centro,35,1,2,1112
914,Jardim Bethania,115,3,1,2440
915,Jardim Gibertoni,150,3,3,3700
916,,146,3,4,2500
917,Parque Sabará,63,2,2,1760
918,Centro,60,2,3,1554
919,Jardim Centenário,48,2,1,1400
920,Parque Santa Felícia Jardim,80,3,1,1667
921,,100,3,2,2000
922,Centro,56,2,1,1900
923,,80,2,2,1500
924,Parque Arnold Schimidt,41,1,1,1112
925,Jardim Nova Santa Paula,57,2,1,750
926,Jardim Gibertoni,130,3,3,1000
927,Centro,60,2,1,1900
928,Parque Sabará,67,2,2,1900
929,Jardim Gibertoni,70,2,1,1334
930,Parque Santa Mônica,81,3,1,1300
931,Jardim Nova São Carlos,42,2,1,640
932,Parque Arnold Schimidt,63,2,2,1500
933,Residencial Monsenhor Romeu Tortorelli,42,2,1,660
934,,102,3,2,3111
935,Parque Fehr,43,2,1,1334
936,Jardim Bethania,60,2,2,1700
937,Jardim Alvorada,60,2,1,880
938,Jardim Alvorada,64,2,2,2500
939,Jardim Santa Paula,66,2,2,1223
940,Parque Arnold Schimidt,48,2,1,1100
941,Parque Santa Mônica,82,1,1,1400
942,Jardim Brasil,49,2,2,1000
943,Vila Irene,42,2,1,600
944,,64,3,2,1400
945,Centro,44,1,1,1400
946,Jardim Lutfalla,56,2,1,1555
947,,98,2,2,1667
948,Gleba I,111,4,3,3300
949,Centro,35,1,2,1112
950,Jardim Bethania,115,3,1,2440
951,Jardim Gibertoni,150,3,3,3700
952,,146,3,4,2500
953,Parque Sabará,63,2,2,1760
954,Centro,60,2,3,1554
955,Jardim Centenário,48,2,1,1400
956,Parque Santa Felícia Jardim,80,3,1,1667
957,,100,3,2,2000
958,Centro,56,2,1,1900
959,,80,2,2,1500
960,Parque Arnold Schimidt,41,1,1,1112
961,Jardim Nova Santa Paula,57,2,1,750
962,Jardim Gibertoni,130,3,3,1000
963,Centro,60,2,1,1900
964,Parque Sabará,67,2,2,1900
965,Jardim Gibertoni,70,2,1,1334
966,Parque Santa Mônica,81,3,1,1300
967,Jardim Nova São Carlos,42,2,1,640
968,Parque Arnold Schimidt,63,2,2,1500
969,Residencial Monsenhor Romeu Tortorelli,42,2,1,660
970,,102,3,2,3111
971,Parque Fehr,43,2,1,1334
972,Jardim Bethania,60,2,2,1700
973,Jardim Alvorada,60,2,1,880
974,Jardim Alvorada,64,2,2,2500
975,Jardim Santa Paula,66,2,2,1223
976,Parque Arnold Schimidt,48,2,1,1100
977,Parque Santa Mônica,82,1,1,1400
978,Jardim Brasil,49,2,2,1000
979,Vila Irene,42,2,1,600
980,,64,3,2,1400
981,Centro,44,1,1,1400
982,Jardim Lutfalla,56,2,1,1555
983,,98,2,2,1667
984,Gleba I,111,4,3,3300
985,Centro,35,1,2,1112
986,Jardim Bethania,115,3,1,2440
987,Jardim Gibertoni,150,3,3,3700
988,,146,3,4,2500
989,Parque Sabará,63,2,2,1760
990,Centro,60,2,3,1554
991,Jardim Centenário,48,2,1,1400
992,Parque Santa Felícia Jardim,80,3,1,1667
993,,100,3,2,2000
994,Centro,56,2,1,1900
995,,80,2,2,1500
996,Parque Arnold Schimidt,41,1,1,1112
997,Jardim Nova Santa Paula,57,2,1,750
998,Jardim Gibertoni,130,3,3,1000
999,Centro,60,2,1,1900
1000,Parque Sabará,67,2,2,1900
1001,Jardim Gibertoni,70,2,1,1334
1002,Parque Santa Mônica,81,3,1,1300
1003,Jardim Nova São Carlos,42,2,1,640
1004,Parque Arnold Schimidt,63,2,2,1500
1005,Residencial Monsenhor Romeu Tortorelli,42,2,1,660
1006,,102,3,2,3111
1007,Parque Fehr,43,2,1,1334
1008,Jardim Bethania,60,2,2,1700
1009,Jardim Alvorada,60,2,1,880
1010,Jardim Alvorada,64,2,2,2500
1011,Jardim Santa Paula,66,2,2,1223
1012,Parque Arnold Schimidt,48,2,1,1100
1013,Parque Santa Mônica,82,1,1,1400
1014,Jardim Brasil,49,2,2,1000
1015,Vila Irene,42,2,1,600
1016,,64,3,2,1400
1017,Centro,44,1,1,1400
1018,Jardim Lutfalla,56,2,1,1555
1019,,98,2,2,1667
1020,Gleba I,111,4,3,3300
1021,Centro,35,1,2,1112
1022,Jardim Bethania,115,3,1,2440
1023,Jardim Gibertoni,150,3,3,3700
1024,,146,3,4,2500
1025,Parque Sabará,63,2,2,1760
1026,Centro,60,2,3,1554
1027,Jardim Centenário,48,2,1,1400
1028,Parque Santa Felícia Jardim,80,3,1,1667
1029,,100,3,2,2000
1030,Centro,56,2,1,1900
1031,,80,2,2,1500
1032,Parque Arnold Schimidt,41,1,1,1112
1033,Jardim Nova Santa Paula,57,2,1,750
1034,Jardim Gibertoni,130,3,3,1000
1035,Centro,60,2,1,1900
1036,Parque Sabará,67,2,2,1900
1037,Jardim Gibertoni,70,2,1,1334
1038,Parque Santa Mônica,81,3,1,1300
1039,Jardim Nova São Carlos,42,2,1,640
1040,Parque Arnold Schimidt,63,2,2,1500
1041,Residencial Monsenhor Romeu Tortorelli,42,2,1,660
1042,,102,3,2,3111
1043,Parque Fehr,43,2,1,1334
1044,Jardim Bethania,60,2,2,1700
1045,Jardim Alvorada,60,2,1,880
1046,Jardim Alvorada,64,2,2,2500
1047,Jardim Santa Paula,66,2,2,1223
1048,Parque Arnold Schimidt,48,2,1,1100
1049,Parque Santa Mônica,82,1,1,1400
1050,Jardim Brasil,49,2,2,1000
1051,Vila Irene,42,2,1,600
1052,,64,3,2,1400
1053,Centro,44,1,1,1400
1054,Jardim Lutfalla,56,2,1,1555
1055,,98,2,2,1667
1056,Gleba I,111,4,3,3300
1057,Centro,35,1,2,1112
1058,Jardim Bethania,115,3,1,2440
1059,Jardim Gibertoni,150,3,3,3700
1060,,146,3,4,2500
1061,Parque Sabará,63,2,2,1760
1062,Centro,60,2,3,1554
1063,Jardim Centenário,48,2,1,1400
1064,Parque Santa Felícia Jardim,80,3,1,1667
1065,,100,3,2,2000
1066,Centro,56,2,1,1900
1067,,80,2,2,1500
1068,Parque Arnold Schimidt,41,1,1,1112
1069,Jardim Nova Santa Paula,57,2,1,750
1070,Jardim Gibertoni,130,3,3,1000
1071,Centro,60,2,1,1900
1072,Parque Sabará,67,2,2,1900
1073,Jardim Gibertoni,70,2,1,1334
1074,Parque Santa Mônica,81,3,1,1300
1075,Jardim Nova São Carlos,42,2,1,640
1076,Parque Arnold Schimidt,63,2,2,1500
1077,Residencial Monsenhor Romeu Tortorelli,42,2,1,660
1078,,102,3,2,3111
1079,Parque Fehr,43,2,1,1334
1080,Jardim Bethania,60,2,2,1700
1081,Jardim Alvorada,60,2,1,880
1082,Jardim Alvorada,64,2,2,2500
1083,Jardim Santa Paula,66,2,2,1223
1084,Parque Arnold Schimidt,48,2,1,1100
1085,Parque Santa Mônica,82,1,1,1400
1086,Jardim Brasil,49,2,2,1000
1087,Vila Irene,42,2,1,600
1088,,64,3,2,1400
1089,Centro,44,1,1,1400
1090,Jardim Lutfalla,56,2,1,1555
1091,,98,2,2,1667
1092,Gleba I,111,4,3,3300
1093,Centro,35,1,2,1112
1094,Jardim Bethania,115,3,1,2440
1095,Jardim Gibertoni,150,3,3,3700
1096,,146,3,4,2500
1097,Parque Sabará,63,2,2,1760
1098,Centro,60,2,3,1554
1099,Jardim Centenário,48,2,1,1400
1100,Parque Santa Felícia Jardim,80,3,1,1667
1101,,100,3,2,2000
1102,Centro,56,2,1,1900
1103,,80,2,2,1500
1104,Parque Arnold Schimidt,41,1,1,1112
1105,Jardim Nova Santa Paula,57,2,1,750
1106,Jardim Gibertoni,130,3,3,1000
1107,Centro,60,2,1,1900
1108,Parque Sabará,67,2,2,1900
1109,Jardim Gibertoni,70,2,1,1334
1110,Parque Santa Mônica,81,3,1,1300
1111,Jardim Nova São Carlos,42,2,1,640
1112,Parque Arnold Schimidt,63,2,2,1500
1113,Residencial Monsenhor Romeu Tortorelli,42,2,1,660
1114,,102,3,2,3111
1115,Parque Fehr,43,2,1,1334
1116,Jardim Bethania,60,2,2,1700
1117,Jardim Alvorada,60,2,1,880
1118,Jardim Alvorada,64,2,2,2500
1119,Jardim Santa Paula,66,2,2,1223
1120,Parque Arnold Schimidt,48,2,1,1100
1121,Parque Santa Mônica,82,1,1,1400
1122,Jardim Brasil,49,2,2,1000
1123,Vila Irene,42,2,1,600
1124,,64,3,2,1400
1125,Centro,44,1,1,1400
1126,Jardim Lutfalla,56,2,1,1555
1127,,98,2,2,1667
1128,Gleba I,111,4,3,3300
1129,Centro,35,1,2,1112
1130,Jardim Bethania,115,3,1,2440
1131,Jardim Gibertoni,150,3,3,3700
1132,,146,3,4,2500
1133,Parque Sabará,63,2,2,1760
1134,Centro,60,2,3,1554
1135,Jardim Centenário,48,2,1,1400
1136,Parque Santa Felícia Jardim,80,3,1,1667
1137,,100,3,2,2000
1138,Centro,56,2,1,1900
1139,,80,2,2,1500
1140,Parque Arnold Schimidt,41,1,1,1112
1141,Jardim Nova Santa Paula,57,2,1,750
1142,Jardim Gibertoni,130,3,3,1000
1143,Centro,60,2,1,1900
1144,Parque Sabará,67,2,2,1900
1145,Jardim Gibertoni,70,2,1,1334
1146,Parque Santa Mônica,81,3,1,1300
1147,Jardim Nova São Carlos,42,2,1,640
1148,Parque Arnold Schimidt,63,2,2,1500
1149,Residencial Monsenhor Romeu Tortorelli,42,2,1,660
1150,,102,3,2,3111
1151,Parque Fehr,43,2,1,1334
1152,Jardim Bethania,60,2,2,1700
1153,Jardim Alvorada,60,2,1,880
1154,Jardim Alvorada,64,2,2,2500
1155,Jardim Santa Paula,66,2,2,1223
1156,Parque Arnold Schimidt,48,2,1,1100
1157,Parque Santa Mônica,82,1,1,1400
1158,Jardim Brasil,49,2,2,1000
1159,Vila Irene,42,2,1,600
1160,,64,3,2,1400
1161,Centro,44,1,1,1400
1162,Jardim Lutfalla,56,2,1,1555
1163,,98,2,2,1667
1164,Gleba I,111,4,3,3300
1165,Centro,35,1,2,1112
1166,Jardim Bethania,115,3,1,2440
1167,Jardim Gibertoni,150,3,3,3700
1168,,146,3,4,2500
1169,Parque Sabará,63,2,2,1760
1170,Centro,60,2,3,1554
1171,Jardim Centenário,48,2,1,1400
1172,Parque Santa Felícia Jardim,80,3,1,1667
1173,,100,3,2,2000
1174,Centro,56,2,1,1900
1175,,80,2,2,1500
1176,Parque Arnold Schimidt,41,1,1,1112
1177,Jardim Nova Santa Paula,57,2,1,750
1178,Jardim Gibertoni,130,3,3,1000
1179,Centro,60,2,1,1900
1180,Parque Sabará,67,2,2,1900
1181,Jardim Gibertoni,70,2,1,1334
1182,Parque Santa Mônica,81,3,1,1300
1183,Jardim Nova São Carlos,42,2,1,640
1184,Parque Arnold Schimidt,63,2,2,1500
1185,Residencial Monsenhor Romeu Tortorelli,42,2,1,660
1186,,102,3,2,3111
1187,Parque Fehr,43,2,1,1334
1188,Jardim Bethania,60,2,2,1700
1189,Jardim Alvorada,60,2,1,880
1190,Jardim Alvorada,64,2,2,2500
1191,Jardim Santa Paula,66,2,2,1223
1192,Parque Arnold Schimidt,48,2,1,1100
1193,Parque Santa Mônica,82,1,1,1400
1194,Jardim Brasil,49,2,2,1000
1195,Vila Irene,42,2,1,600
1196,,64,3,2,1400
1197,Centro,44,1,1,1400
1198,Jardim Lutfalla,56,2,1,1555
1199,,98,2,2,1667
1200,Gleba I,111,4,3,3300
1201,Centro,35,1,2,1112
1202,Jardim Bethania,115,3,1,2440
1203,Jardim Gibertoni,150,3,3,3700
1204,,146,3,4,2500
1205,Parque Sabará,63,2,2,1760
1206,Centro,60,2,3,1554
1207,Jardim Centenário,48,2,1,1400
1208,Parque Santa Felícia Jardim,80,3,1,1667
1209,,100,3,2,2000
1210,Centro,56,2,1,1900
1211,,80,2,2,1500
1212,Parque Arnold Schimidt,41,1,1,1112
1213,Jardim Nova Santa Paula,57,2,1,750
1214,Jardim Gibertoni,130,3,3,1000
1215,Centro,60,2,1,1900
1216,Parque Sabará,67,2,2,1900
1217,Jardim Gibertoni,70,2,1,1334
1218,Parque Santa Mônica,81,3,1,1300
1219,Jardim Nova São Carlos,42,2,1,640
1220,Parque Arnold Schimidt,63,2,2,1500
1221,Residencial Monsenhor Romeu Tortorelli,42,2,1,660
1222,,102,3,2,3111
1223,Parque Fehr,43,2,1,1334
1224,Jardim Bethania,60,2,2,1700
1225,Jardim Alvorada,60,2,1,880
1226,Jardim Alvorada,64,2,2,2500
1227,Jardim Santa Paula,66,2,2,1223
1228,Parque Arnold Schimidt,48,2,1,1100
1229,Parque Santa Mônica,82,1,1,1400
1230,Jardim Brasil,49,2,2,1000
1231,Vila Irene,42,2,1,600
1232,,64,3,2,1400
1233,Centro,44,1,1,1400
1234,Jardim Lutfalla,56,2,1,1555
1235,,98,2,2,1667
1236,Gleba I,111,4,3,3300
1237,Centro,35,1,2,1112
1238,Jardim Bethania,115,3,1,2440
1239,Jardim Gibertoni,150,3,3,3700
1240,,146,3,4,2500
1241,Parque Sabará,63,2,2,1760
1242,Centro,60,2,3,1554
1243,Jardim Centenário,48,2,1,1400
1244,Parque Santa Felícia Jardim,80,3,1,1667
1245,,100,3,2,2000
1246,Centro,56,2,1,1900
1247,,80,2,2,1500
1248,Parque Arnold Schimidt,41,1,1,1112
1249,Jardim Nova Santa Paula,57,2,1,750
1250,Jardim Gibertoni,130,3,3,1000
1251,Centro,60,2,1,1900
1252,Parque Sabará,67,2,2,1900
1253,Jardim Gibertoni,70,2,1,1334
1254,Parque Santa Mônica,81,3,1,1300
1255,Jardim Nova São Carlos,42,2,1,640
1256,Parque Arnold Schimidt,63,2,2,1500
1257,Residencial Monsenhor Romeu Tortorelli,42,2,1,660
1258,,102,3,2,3111
1259,Parque Fehr,43,2,1,1334
1260,Jardim Bethania,60,2,2,1700
1261,Jardim Alvorada,60,2,1,880
1262,Jardim Alvorada,64,2,2,2500
1263,Jardim Santa Paula,66,2,2,1223
1264,Parque Arnold Schimidt,48,2,1,1100
1265,Parque Santa Mônica,82,1,1,1400
1266,Jardim Brasil,49,2,2,1000
1267,Vila Irene,42,2,1,600
1268,,64,3,2,1400
1269,Centro,44,1,1,1400
1270,Jardim Lutfalla,56,2,1,1555
1271,,98,2,2,1667
1272,Gleba I,111,4,3,3300
1273,Centro,35,1,2,1112
1274,Jardim Bethania,115,3,1,2440
1275,Jardim Gibertoni,150,3,3,3700
1276,,146,3,4,2500
1277,Parque Sabará,63,2,2,1760
1278,Centro,60,2,3,1554
1279,Jardim Centenário,48,2,1,1400
1280,Parque Santa Felícia Jardim,80,3,1,1667
1281,,100,3,2,2000
1282,Centro,56,2,1,1900
1283,,80,2,2,1500
1284,Parque Arnold Schimidt,41,1,1,1112
1285,Jardim Nova Santa Paula,57,2,1,750
1286,Jardim Gibertoni,130,3,3,1000
1287,Centro,60,2,1,1900
1288,Parque Sabará,67,2,2,1900
1289,Jardim Gibertoni,70,2,1,1334
1290,Parque Santa Mônica,81,3,1,1300
1291,Jardim Nova São Carlos,42,2,1,640
1292,Parque Arnold Schimidt,63,2,2,1500
1293,Residencial Monsenhor Romeu Tortorelli,42,2,1,660
1294,,102,3,2,3111
1295,Parque Fehr,43,2,1,1334
1296,Jardim Bethania,60,2,2,1700
1297,Jardim Alvorada,60,2,1,880
1298,Jardim Alvorada,64,2,2,2500
1299,Jardim Santa Paula,66,2,2,1223
