,neighbourhood,area,rooms,bathrooms,rent
1668,Gleba I,111,4,3,3300
1669,Centro,35,1,2,1112
1670,Jardim Bethania,115,3,1,2440
1671,Jardim Gibertoni,150,3,3,3700
1672,,146,3,4,2500
1673,Parque Sabará,63,2,2,1760
1674,Centro,60,2,3,1554
1675,Jardim Centenário,48,2,1,1400
1676,Parque Santa Felícia Jardim,80,3,1,1667
1677,,100,3,2,2000
1678,Centro,56,2,1,1900
1679,,80,2,2,1500
1680,Parque Arnold Schimidt,41,1,1,1112
1681,Jardim Nova Santa Paula,57,2,1,750
1682,Jardim Gibertoni,130,3,3,1000
1683,Centro,60,2,1,1900
1684,Parque Sabará,67,2,2,1900
1685,Jardim Gibertoni,70,2,1,1334
1686,Parque Santa Mônica,81,3,1,1300
1687,Jardim Nova São Carlos,42,2,1,640
1688,Parque Arnold Schimidt,63,2,2,1500
1689,Residencial Monsenhor Romeu Tortorelli,42,2,1,660
1690,,102,3,2,3111
1691,Parque Fehr,43,2,1,1334
1692,Jardim Bethania,60,2,2,1700
1693,Jardim Alvorada,60,2,1,880
1694,Jardim Alvorada,64,2,2,2500
1695,Jardim Santa Paula,66,2,2,1223
1696,Parque Arnold Schimidt,48,2,1,1100
1697,Parque Santa Mônica,82,1,1,1400
1698,Jardim Brasil,49,2,2,1000
1699,Vila Irene,42,2,1,600
1700,,64,3,2,1400
1701,Centro,44,1,1,1400
1702,Jardim Lutfalla,56,2,1,1555
1703,,98,2,2,1667
1704,Gleba I,111,4,3,3300
1705,Centro,35,1,2,1112
1706,Jardim Bethania,115,3,1,2440
1707,Jardim Gibertoni,150,3,3,3700
1708,,146,3,4,2500
1709,Parque Sabará,63,2,2,1760
1710,Centro,60,2,3,1554
1711,Jardim Centenário,48,2,1,1400
1712,Parque Santa Felícia Jardim,80,3,1,1667
1713,,100,3,2,2000
1714,Centro,56,2,1,1900
1715,,80,2,2,1500
1716,Parque Arnold Schimidt,41,1,1,1112
1717,Jardim Nova Santa Paula,57,2,1,750
1718,Jardim Gibertoni,130,3,3,1000
1719,Centro,60,2,1,1900
1720,Parque Sabará,67,2,2,1900
1721,Jardim Gibertoni,70,2,1,1334
1722,Parque Santa Mônica,81,3,1,1300
1723,Jardim Nova São Carlos,42,2,1,640
1724,Parque Arnold Schimidt,63,2,2,1500
1725,Residencial Monsenhor Romeu Tortorelli,42,2,1,660
1726,,102,3,2,3111
1727,Parque Fehr,43,2,1,1334
1728,Jardim Bethania,60,2,2,1700
1729,Jardim Alvorada,60,2,1,880
1730,Jardim Alvorada,64,2,2,2500
1731,Jardim Santa Paula,66,2,2,1223
1732,Parque Arnold Schimidt,48,2,1,1100
1733,Parque Santa Mônica,82,1,1,1400
1734,Jardim Brasil,49,2,2,1000
1735,Vila Irene,42,2,1,600
1736,,64,3,2,1400
1737,Centro,44,1,1,1400
1738,Jardim Lutfalla,56,2,1,1555
